method,observed_at,timestamp,peer,resource,result,sequence,service
GET,2026-07-23T09:36:42.227859Z,2026-07-23T09:36:42.227859Z,127.0.0.1,/,200,1,http
GET,2026-07-23T09:36:42.267090Z,2026-07-23T09:36:42.267090Z,127.0.0.1,/,200,2,http
GET,2026-07-23T09:36:42.307137Z,2026-07-23T09:36:42.307137Z,127.0.0.1,/,200,3,http
GET,2026-07-23T09:36:42.347274Z,2026-07-23T09:36:42.347274Z,127.0.0.1,/,200,4,http
GET,2026-07-23T09:36:42.387273Z,2026-07-23T09:36:42.387273Z,127.0.0.1,/,200,5,http
EMPTY,2026-07-23T09:36:42.427485Z,2026-07-23T09:36:42.427485Z,127.0.0.1,line,400,6,signal
CAPS,2026-07-23T09:36:42.467472Z,2026-07-23T09:36:42.467472Z,127.0.0.1,line,200,7,signal
ROUTE,2026-07-23T09:36:42.507523Z,2026-07-23T09:36:42.507523Z,127.0.0.1,line,200,8,signal
GET,2026-07-23T09:36:42.548372Z,2026-07-23T09:36:42.548372Z,127.0.0.1,/robots.txt,200,9,http
GET,2026-07-23T09:36:42.588005Z,2026-07-23T09:36:42.588005Z,127.0.0.1,/ops-diagnostics,200,10,http
GET,2026-07-23T09:36:42.628147Z,2026-07-23T09:36:42.628147Z,127.0.0.1,/user.txt,200,11,http
GET,2026-07-23T09:40:20.562672Z,2026-07-23T09:40:20.562672Z,127.0.0.1,/,200,12,http
GET,2026-07-23T09:40:20.602110Z,2026-07-23T09:40:20.602110Z,127.0.0.1,/,200,13,http
GET,2026-07-23T09:40:20.642183Z,2026-07-23T09:40:20.642183Z,127.0.0.1,/,200,14,http
GET,2026-07-23T09:40:20.682313Z,2026-07-23T09:40:20.682313Z,127.0.0.1,/,200,15,http
GET,2026-07-23T09:40:20.722497Z,2026-07-23T09:40:20.722497Z,127.0.0.1,/,200,16,http
EMPTY,2026-07-23T09:40:20.762552Z,2026-07-23T09:40:20.762552Z,127.0.0.1,line,400,17,signal
CAPS,2026-07-23T09:40:20.802586Z,2026-07-23T09:40:20.802586Z,127.0.0.1,line,200,18,signal
ROUTE,2026-07-23T09:40:20.842709Z,2026-07-23T09:40:20.842709Z,127.0.0.1,line,200,19,signal
GET,2026-07-23T09:40:20.882951Z,2026-07-23T09:40:20.882951Z,127.0.0.1,/robots.txt,200,20,http
GET,2026-07-23T09:40:20.923079Z,2026-07-23T09:40:20.923079Z,127.0.0.1,/ops-diagnostics,200,21,http
GET,2026-07-23T09:40:20.963231Z,2026-07-23T09:40:20.963231Z,127.0.0.1,/user.txt,200,22,http
